CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
17,27.0,Female,Month-to-month,35.9684689181194,704.6167661163281,No,DSL,21,Yes,Mailed check,No,33.553179338872766,1056.9251491744922
18,43.0,Female,One year,66.2480235744632,1165.9638591382684,No,Fiber optic,18,No,Bank transfer (automatic),No,64.77576995212603,1748.9457887074027
19,29.0,Female,Month-to-month,79.85899620933938,352.7986505532388,Yes,Fiber optic,5,Yes,Electronic check,No,70.55973011064776,529.1979758298583
20,23.0,Male,Month-to-month,63.49157457254338,1399.0575148170071,No,Fiber optic,23,Yes,Bank transfer (automatic),No,60.82858760073944,2098.5862722255106
21,57.0,Female,Month-to-month,96.17978819458224,1028.2926987910416,Yes,Fiber optic,11,Yes,Mailed check,Yes,93.48115443554924,1542.4390481865626
22,37.0,Male,Month-to-month,20.0,203.7256192548167,No,No,10,Yes,Credit card (automatic),No,20.37256192548167,305.58842888222506
23,40.0,Male,One year,66.84156860350012,2110.298269340794,Yes,DSL,32,No,Electronic check,No,65.94682091689981,3165.447404011191
24,22.0,Female,One year,59.91778212224007,2620.2072799073144,No,DSL,44,No,Electronic check,No,59.55016545243896,3930.310919860972
25,33.0,Male,Month-to-month,20.0,434.7457405455695,No,No,20,Yes,Credit card (automatic),No,21.737287027278477,652.1186108183542
26,41.0,Female,Two year,36.13387147655003,1998.4590817522662,No,DSL,56,Yes,Bank transfer (automatic),No,35.68676931700475,2997.6886226283996
27,26.0,Male,Two year,28.394347655150966,1722.1455707251162,No,Fiber optic,63,No,Credit card (automatic),No,27.33564397976375,2583.2183560876742
28,44.0,Female,One year,54.09649975172332,2516.611664659335,No,Fiber optic,46,Yes,Bank transfer (automatic),No,54.708949231724674,3774.9174969890028
29,32.0,Male,Month-to-month,90.94353310005994,195.1795486255341,Yes,Fiber optic,2,Yes,Credit card (automatic),No,97.58977431276705,292.7693229383011
30,36.0,Male,One year,68.87828547442652,3253.712392206662,No,Fiber optic,47,Yes,Electronic check,No,69.22792323843962,4880.568588309993
31,32.0,Female,Month-to-month,67.44471320587762,1312.7414837884603,No,DSL,19,Yes,Electronic check,No,69.09165704149791,1969.1122256826905
32,62.0,Male,One year,20.0,342.83207636539726,No,No,16,No,Credit card (automatic),No,21.42700477283733,514.2481145480958
33,39.0,Female,One year,60.60659240159844,2425.7001306875027,No,DSL,40,Yes,Credit card (automatic),No,60.642503267187564,3638.550196031254
34,27.0,Male,Month-to-month,55.65002795831157,676.0729127257204,Yes,Fiber optic,10,Yes,Bank transfer (automatic),No,67.60729127257204,1014.1093690885805
35,49.0,Male,Two year,35.51637490685242,2173.2831818166046,Yes,DSL,63,No,Bank transfer (automatic),Yes,34.49655844153341,3259.9247727249067
36,25.0,Male,Month-to-month,67.85745565658648,852.8260596111963,No,Fiber optic,13,Yes,Credit card (automatic),Yes,65.60200458547664,1279.2390894167945
37,42.0,Female,One year,56.70066977360007,2316.393509177911,No,Fiber optic,40,Yes,Electronic check,No,57.90983772944777,3474.590263766866
38,18.0,Female,Month-to-month,20.0,107.12931460477871,No,No,5,Yes,Bank transfer (automatic),No,21.425862920955744,160.69397190716808
39,,Female,Two year,66.35370598566013,2360.2758611986665,No,Fiber optic,35,No,Electronic check,No,67.43645317710475,3540.4137917979997
40,42.0,Female,Month-to-month,72.12870832862578,946.1610297489786,Yes,Fiber optic,13,Yes,Electronic check,No,72.78161767299835,1419.241544623468
41,48.0,Female,Month-to-month,32.683586114960676,787.7417220871339,No,No,22,Yes,Mailed check,Yes,35.80644191305154,1181.6125831307008
42,42.0,Male,Month-to-month,88.7361135426612,659.5133655596273,No,Fiber optic,8,Yes,Credit card (automatic),No,82.43917069495342,989.270048339441
43,38.0,Male,Month-to-month,94.39886398465663,1483.105954240185,No,Fiber optic,15,Yes,Bank transfer (automatic),Yes,98.87373028267899,2224.658931360277
44,36.0,Female,Month-to-month,84.40714996787017,1155.8427742425256,No,Fiber optic,13,Yes,Credit card (automatic),No,88.91098263404044,1733.7641613637884
45,22.0,Male,One year,76.6522551789995,859.312606436475,Yes,Fiber optic,12,Yes,Electronic check,No,71.60938386970625,1288.9689096547124
46,31.0,Male,Month-to-month,45.421101870562154,1030.797511646751,Yes,Fiber optic,22,Yes,Mailed check,No,46.85443234757959,1546.1962674701265
47,34.0,Male,Month-to-month,52.24808296902912,311.33650120234523,No,DSL,6,Yes,Electronic check,No,51.88941686705754,467.0047518035178
48,52.0,Male,Month-to-month,81.93587554661629,870.965530056826,Yes,Fiber optic,11,Yes,Electronic check,Yes,79.17868455062055,1306.448295085239
49,44.0,Female,Two year,99.14875898740873,6647.684651657907,No,Fiber optic,68,No,Electronic check,No,97.76006840673392,9971.526977486861
50,18.0,Male,One year,26.862885417318136,271.8139414519518,No,No,12,No,Electronic check,Yes,22.651161787662648,407.7209121779277
51,43.0,Female,One year,32.40383434605422,748.2899626224223,No,No,22,No,Mailed check,No,34.01318011920102,1122.4349439336333
52,35.0,Female,One year,49.360042172695216,1669.5734551619698,No,Fiber optic,33,Yes,Electronic check,No,50.59313500490818,2504.3601827429547
53,31.0,Male,Month-to-month,63.4716474770381,179.8794184023057,No,Fiber optic,3,Yes,Mailed check,No,59.9598061341019,269.8191276034586
54,47.0,Female,Month-to-month,78.58701427322542,1534.0025283484472,No,Fiber optic,19,Yes,Credit card (automatic),Yes,80.73697517623407,2301.0037925226707
55,52.0,Male,Month-to-month,93.21905381485124,1165.8916496729216,No,Fiber optic,12,Yes,Bank transfer (automatic),No,97.15763747274347,1748.8374745093824
56,51.0,Male,Two year,20.0,587.7319979313173,No,No,29,Yes,Credit card (automatic),No,20.266620618321287,881.5979968969759
57,29.0,Male,Two year,20.0,983.8833188074898,No,No,51,Yes,Credit card (automatic),No,19.291829780539015,1475.8249782112348
58,36.0,Female,Month-to-month,26.871403060029788,640.0949760214675,No,No,23,Yes,Mailed check,Yes,27.830216348759453,960.1424640322011
59,43.0,Female,Month-to-month,33.11193759282314,289.2447361255283,Yes,DSL,8,Yes,Bank transfer (automatic),No,36.155592015691035,433.8671041882924
60,51.0,Female,Month-to-month,36.07404549823429,214.06744700868694,No,No,5,No,Bank transfer (automatic),No,42.813489401737385,321.1011705130304
61,34.0,Male,Month-to-month,20.0,243.27016350011198,No,No,10,No,Electronic check,Yes,24.3270163500112,364.905245250168
62,37.0,Male,One year,31.628211528813935,817.4816942107291,Yes,Fiber optic,28,No,Credit card (automatic),No,29.195774793240325,1226.2225413160936
63,26.0,Male,Month-to-month,70.20134017045162,395.7115787544226,No,Fiber optic,6,Yes,Mailed check,Yes,65.95192979240376,593.5673681316339
64,25.0,Female,Two year,103.9691740475113,3232.082502235971,Yes,Fiber optic,32,No,Electronic check,No,101.00257819487409,4848.123753353956
65,49.0,Male,Month-to-month,81.7290626066722,854.6404279844893,Yes,Fiber optic,10,Yes,Bank transfer (automatic),No,85.46404279844893,1281.960641976734
66,56.0,Male,Two year,,1172.3533610925415,No,No,43,No,Bank transfer (automatic),No,27.26403165331492,1758.5300416388122
67,39.0,Female,One year,70.82771524614229,1792.233584688428,No,Fiber optic,25,Yes,Bank transfer (automatic),No,71.68934338753712,2688.350377032642
68,52.0,Female,One year,66.95245005457646,1600.0273139549035,No,Fiber optic,25,Yes,Electronic check,No,64.00109255819615,2400.0409709323553
69,44.0,Female,One year,39.10181260813769,1516.8161089857472,No,Fiber optic,37,Yes,Mailed check,No,40.99502997258776,2275.2241634786205
70,32.0,Male,One year,24.812274841916278,932.7740354456873,No,Fiber optic,40,No,Mailed check,No,23.319350886142182,1399.161053168531
71,44.0,Male,One year,21.962723384408633,873.3116538266511,No,No,38,Yes,Credit card (automatic),No,22.981885627017135,1309.9674807399765
72,58.0,Male,One year,96.25098388680452,3470.93292846959,Yes,Fiber optic,36,No,Credit card (automatic),No,96.41480356859972,5206.399392704385
73,39.0,Female,One year,76.8826740965613,2066.360061730846,Yes,Fiber optic,27,No,Bank transfer (automatic),No,76.53185413817948,3099.5400925962695
74,58.0,Female,Two year,59.3539929057802,3488.3775761104234,No,DSL,59,Yes,Electronic check,No,59.12504366288853,5232.566364165636
75,18.0,Female,One year,101.6743509127908,4543.442640609779,Yes,Fiber optic,45,No,Electronic check,No,100.96539201355064,6815.163960914669
76,49.0,Female,One year,76.57533702882117,2132.29390862321,Yes,Fiber optic,27,No,Mailed check,No,78.9738484675263,3198.440862934815
77,41.0,Male,Two year,20.0,1120.6306417176122,No,No,56,Yes,Mailed check,Yes,20.011261459243077,1680.9459625764184
78,36.0,Male,Month-to-month,37.722127915249025,497.05307228086076,No,DSL,3,No,Electronic check,No,16.56843574269536,74.55796084212912
79,41.0,Male,Month-to-month,110.44425125944173,2521.0197688654175,No,Fiber optic,23,No,Bank transfer (automatic),No,109.60955516806163,3781.5296532981265
80,18.0,Male,Month-to-month,57.89821668730521,643.2973349205041,Yes,DSL,11,Yes,Mailed check,Yes,58.48157590186401,964.9460023807562
81,37.0,Male,Month-to-month,51.12796568161338,862.9377149780804,No,Fiber optic,16,Yes,Bank transfer (automatic),Yes,53.933607186130025,1294.4065724671207
82,44.0,Male,Two year,20.0,789.7690139741396,No,No,41,No,Electronic check,Yes,19.26265887741804,1184.6535209612093
83,57.0,Male,Month-to-month,95.06127453857826,1399.0302902884464,No,Fiber optic,15,No,Electronic check,No,93.26868601922976,2098.5454354326694
84,33.0,Male,One year,49.25116607183349,1971.21824923071,No,Fiber optic,40,No,Bank transfer (automatic),No,49.28045623076775,2956.827373846065
85,30.0,Female,Month-to-month,107.07668315004442,1971.051537698166,Yes,Fiber optic,18,Yes,Mailed check,No,109.50286320545366,2956.577306547249
86,33.0,Female,Month-to-month,20.0,31.56227322019852,No,DSL,5,Yes,Bank transfer (automatic),No,6.312454644039704,47.34340983029778
87,50.0,Male,One year,98.45190395579954,3471.0843700025707,No,Fiber optic,35,Yes,Bank transfer (automatic),No,99.17383914293059,5206.626555003856
88,43.0,Female,Two year,79.73789622323929,4123.167477102011,Yes,Fiber optic,52,No,Credit card (automatic),No,79.29168225196175,6184.751215653016
89,33.0,Male,Month-to-month,72.37188846113749,562.7534786016756,No,Fiber optic,8,Yes,Electronic check,Yes,70.34418482520945,844.1302179025134
90,46.0,Male,One year,20.0,380.07878725648743,No,No,14,No,Electronic check,No,27.148484804034815,570.1181808847311
91,41.0,Female,One year,107.81459697188059,1391.7662994068714,No,Fiber optic,13,Yes,Mailed check,No,107.05894610822088,2087.649449110307
92,51.0,Male,Month-to-month,84.14117716802407,1636.4170537078862,No,Fiber optic,19,Yes,Credit card (automatic),Yes,86.12721335304664,2454.6255805618293
93,31.0,Male,Month-to-month,20.0,195.94569186016741,No,No,8,Yes,Bank transfer (automatic),Yes,24.493211482520927,293.9185377902511
94,36.0,Male,Two year,,440.99880429507465,No,No,25,Yes,Mailed check,No,17.639952171802985,661.498206442612
95,35.0,Male,Month-to-month,73.54594426294616,1305.1032247348319,No,Fiber optic,19,Yes,Electronic check,No,68.68964340709641,1957.6548371022477
96,22.0,Male,Month-to-month,49.98393299693879,91.03303761778433,No,DSL,1,Yes,Mailed check,Yes,91.03303761778433,136.5495564266765
97,43.0,Male,Month-to-month,39.602639252489816,817.08075393235,No,Fiber optic,22,Yes,Mailed check,Yes,37.140034269652276,1225.621130898525
98,43.0,Male,One year,68.89212949035328,3085.8288088277,No,Fiber optic,46,No,Bank transfer (automatic),No,67.08323497451522,4628.74321324155
99,40.0,Female,One year,41.39098050388699,713.5637988044018,Yes,DSL,16,Yes,Mailed check,No,44.59773742527511,1070.3456982066027
100,37.0,Female,One year,50.139351024600415,701.1189286802266,Yes,DSL,15,No,Electronic check,No,46.74126191201511,1051.67839302034
101,23.0,Male,Month-to-month,60.88885417472603,996.4846471861229,No,DSL,17,Yes,Electronic check,No,58.61674395212487,1494.7269707791843
102,34.0,Female,Two year,99.8521989492807,4492.215411522816,No,Fiber optic,44,Yes,Electronic check,No,102.09580480733672,6738.323117284224
103,,Male,Month-to-month,88.17778072738574,1768.746627206022,Yes,Fiber optic,21,Yes,Mailed check,No,84.22602986695343,2653.119940809033
104,30.0,Male,Month-to-month,55.57118500339589,826.324657983988,No,Fiber optic,16,Yes,Electronic check,No,51.64529112399925,1239.486986975982
105,38.0,Male,Month-to-month,55.533726932437915,865.5547237953106,Yes,DSL,16,No,Bank transfer (automatic),Yes,54.09717023720691,1298.3320856929658
106,44.0,Male,Month-to-month,71.26214242984048,1555.7542914647695,No,Fiber optic,22,Yes,Bank transfer (automatic),No,70.71610415748953,2333.6314371971544
107,62.0,Female,Two year,30.018065680536484,975.9269690323579,No,DSL,34,Yes,Electronic check,No,28.703734383304642,1463.8904535485367
108,42.0,Female,Two year,55.973491770384086,3132.556276045747,Yes,DSL,57,Yes,Mailed check,No,54.95712764992538,4698.83441406862
109,43.0,Female,Month-to-month,107.13344675835428,1896.7683111136193,No,Fiber optic,17,Yes,Credit card (automatic),Yes,111.57460653609526,2845.152466670429
110,39.0,Female,Two year,70.64853208374008,2697.793525387359,No,Fiber optic,38,Yes,Mailed check,No,70.99456645756207,4046.6902880810385
111,18.0,Male,One year,38.11634640549199,829.7017117257911,Yes,Fiber optic,21,No,Mailed check,No,39.50960532027577,1244.5525675886868
112,39.0,Female,Two year,70.60537342217238,4300.066519924589,No,Fiber optic,61,Yes,Mailed check,No,70.49289376925555,6450.099779886883
113,40.0,Male,Month-to-month,31.794317015401248,682.153404766383,No,DSL,21,No,Mailed check,Yes,32.48349546506586,1023.2301071495745
114,69.0,Male,One year,87.27211013772575,3712.073708839961,No,Fiber optic,42,Yes,Electronic check,No,88.3827073533324,5568.110563259941
115,37.0,Female,Month-to-month,57.872974875876935,239.54992365211794,Yes,DSL,5,Yes,Electronic check,No,47.90998473042359,359.3248854781769
116,43.0,Male,Two year,47.436349197878855,3191.4771960837825,No,DSL,67,Yes,Electronic check,No,47.633988001250486,4787.215794125674
117,39.0,Female,Month-to-month,63.37671468288357,415.06240376769597,No,Fiber optic,6,Yes,Bank transfer (automatic),No,69.177067294616,622.593605651544
118,25.0,Female,One year,65.75531396768906,1721.1227165114396,No,Fiber optic,25,Yes,Electronic check,No,68.84490866045759,2581.6840747671595
119,53.0,Female,Month-to-month,50.124117415134805,1250.2492495381885,No,DSL,23,Yes,Credit card (automatic),No,54.3586630233995,1875.3738743072827
120,49.0,Female,Month-to-month,38.41647467987687,618.156584727118,No,DSL,16,Yes,Credit card (automatic),Yes,38.634786545444875,927.234877090677
121,49.0,Female,One year,42.24493837997126,1577.749729163322,Yes,Fiber optic,36,No,Bank transfer (automatic),No,43.82638136564783,2366.624593744983
122,29.0,Male,Two year,92.77397893389296,5618.478297232787,Yes,Fiber optic,62,No,Bank transfer (automatic),No,90.620617697303,8427.717445849179
123,56.0,Female,One year,44.21898535254563,652.4609550519289,Yes,DSL,13,No,Electronic check,No,50.18930423476376,978.6914325778932
124,23.0,Female,Two year,73.34086208338289,4437.498404000316,No,Fiber optic,61,No,Bank transfer (automatic),No,72.74587547541502,6656.247606000475
125,47.0,Male,Month-to-month,54.27922926751241,476.45819095821713,Yes,DSL,9,No,Credit card (automatic),No,52.93979899535746,714.6872864373257
126,66.0,Female,Month-to-month,76.44040959310428,557.138091370081,No,Fiber optic,7,Yes,Electronic check,No,79.59115591001158,835.7071370551216
127,28.0,Female,Month-to-month,32.39273004352364,57.113341721271595,No,DSL,2,Yes,Electronic check,No,28.556670860635798,85.6700125819074
128,33.0,Male,Month-to-month,36.48319670896305,703.0034064487046,No,Fiber optic,19,No,Electronic check,Yes,37.00017928677393,1054.505109673057
129,41.0,Male,One year,41.16961212962012,1561.4906850776315,No,DSL,36,No,Bank transfer (automatic),No,43.37474125215643,2342.2360276164472
130,33.0,Female,One year,77.91423064833907,3642.7578382046377,No,Fiber optic,47,No,Electronic check,No,77.5054859192476,5464.1367573069565
131,21.0,Male,One year,55.44100265051374,1442.5608807388433,No,Fiber optic,27,No,Mailed check,No,53.42818076810531,2163.8413211082648
132,40.0,Female,One year,62.90157292601533,1914.818807719372,No,Fiber optic,29,Yes,Bank transfer (automatic),No,66.02823474894386,2872.228211579058
133,27.0,Male,One year,81.90946120624352,1992.1652798000785,Yes,DSL,24,No,Electronic check,Yes,83.0068866583366,2988.2479197001176
134,45.0,Female,Month-to-month,33.09152230390929,261.5695602852196,Yes,Fiber optic,5,No,Bank transfer (automatic),No,52.31391205704392,392.3543404278294
135,28.0,Female,Month-to-month,54.89932008179003,152.98013569252527,Yes,Fiber optic,2,Yes,Electronic check,Yes,76.49006784626263,229.4702035387879
136,58.0,Female,One year,107.93208137147857,2308.3260705718567,No,Fiber optic,22,No,Electronic check,No,104.92391229872077,3462.489105857785
137,30.0,Male,Month-to-month,69.10802656009554,101.37726014793961,No,Fiber optic,1,Yes,Electronic check,Yes,101.37726014793961,152.0658902219094
138,36.0,Female,Month-to-month,55.88029669002179,677.2464536761555,Yes,Fiber optic,13,Yes,Bank transfer (automatic),No,52.09588105201196,1015.8696805142333
139,49.0,Male,Month-to-month,93.3753783402224,467.2484818230953,Yes,Fiber optic,5,Yes,Credit card (automatic),No,93.44969636461906,700.8727227346429
140,25.0,Female,One year,71.10460872962223,2058.247932978657,No,Fiber optic,29,Yes,Electronic check,No,70.97406665443644,3087.3718994679857
141,42.0,Female,Month-to-month,20.0,199.1168097683472,No,No,14,Yes,Electronic check,Yes,14.222629269167657,298.6752146525208
142,55.0,Female,One year,52.88553390556267,1228.6122892554145,Yes,DSL,24,No,Credit card (automatic),No,51.192178718975605,1842.9184338831217
143,20.0,Female,One year,40.1283678592585,1835.7791829560706,No,DSL,43,Yes,Bank transfer (automatic),No,42.69253913851327,2753.668774434106
144,42.0,Female,Month-to-month,49.65017874223843,359.47012143772724,Yes,Fiber optic,7,Yes,Electronic check,No,51.35287449110389,539.2051821565908
145,43.0,Male,One year,20.0,371.2201932668524,No,No,19,No,Bank transfer (automatic),No,19.537904908781705,556.8302899002786
146,49.0,Male,One year,20.0,450.64451099704627,No,No,18,Yes,Credit card (automatic),No,25.03580616650257,675.9667664955693
147,25.0,Male,One year,70.2138662359296,1875.9626228666407,No,Fiber optic,27,Yes,Electronic check,No,69.48009714320891,2813.9439342999613
148,24.0,Female,One year,77.08813134948677,3233.1304985799884,No,Fiber optic,42,No,Electronic check,No,76.97929758523782,4849.695747869982
149,46.0,Female,Month-to-month,87.06120912103222,1703.7031161057546,No,Fiber optic,19,No,Electronic check,No,89.6685850581976,2555.5546741586318
150,43.0,Male,One year,92.55849971033655,3497.1861990619714,Yes,Fiber optic,38,No,Bank transfer (automatic),No,92.03121576478873,5245.779298592957
151,43.0,Female,Month-to-month,61.885269967354965,24.559232999729907,Yes,Fiber optic,1,Yes,Electronic check,No,24.559232999729907,36.83884949959486
152,44.0,Female,Two year,24.994146079390696,1187.0077753602802,No,No,52,No,Credit card (automatic),Yes,22.82707260308231,1780.5116630404204
153,31.0,Female,Two year,79.85046892412713,2428.5396209788028,No,Fiber optic,31,No,Bank transfer (automatic),No,78.33998777350976,3642.809431468204
154,42.0,Male,One year,76.55637431631968,3321.179082618585,No,Fiber optic,44,No,Bank transfer (automatic),No,75.48134278678603,4981.768623927877
155,43.0,Male,Month-to-month,60.41081178099083,551.6256408023479,No,Fiber optic,9,Yes,Electronic check,Yes,61.29173786692755,827.4384612035219
156,31.0,Male,Month-to-month,49.43864375071779,908.8113179772492,No,Fiber optic,19,Yes,Credit card (automatic),Yes,47.83217463038154,1363.216976965874
157,62.0,Male,Month-to-month,80.0400377813312,1788.741743950815,Yes,Fiber optic,21,Yes,Mailed check,Yes,85.17817828337213,2683.112615926222
158,45.0,Male,Month-to-month,35.862748756139,269.8832922935107,No,Fiber optic,9,Yes,Mailed check,No,29.987032477056744,404.824938440266
159,25.0,Female,Month-to-month,45.982408511475334,1035.6629130838523,No,DSL,21,Yes,Credit card (automatic),Yes,49.31728157542154,1553.4943696257785
160,47.0,Female,Month-to-month,20.0,210.98764775637747,No,DSL,10,Yes,Credit card (automatic),No,21.098764775637747,316.4814716345662
161,28.0,Female,Month-to-month,43.271951532834734,1035.5935870408184,No,Fiber optic,23,No,Mailed check,No,45.0258081322095,1553.3903805612276
162,49.0,Female,Two year,52.45732123105151,1820.849901592545,Yes,Fiber optic,34,Yes,Mailed check,No,53.55440887036897,2731.2748523888176
163,53.0,Male,Month-to-month,66.45086311443927,0.0,No,DSL,1,Yes,Electronic check,Yes,0.0,0.0
164,30.0,Male,Two year,83.76216048808539,3601.1952670388437,No,Fiber optic,43,Yes,Credit card (automatic),No,83.74872714043822,5401.7929005582655
165,51.0,Female,Two year,41.690979742366366,1988.055620771894,No,DSL,48,No,Credit card (automatic),No,41.41782543274779,2982.083431157841
166,44.0,Male,Month-to-month,60.94054692694626,430.87547068100673,Yes,DSL,8,No,Electronic check,No,53.85943383512584,646.31320602151
167,49.0,Female,One year,28.876229633803966,687.1345834382847,No,No,23,No,Bank transfer (automatic),No,29.87541667122977,1030.7018751574271
168,62.0,Female,Month-to-month,20.0,105.82701579387357,No,No,1,No,Bank transfer (automatic),Yes,105.82701579387357,158.74052369081036
169,37.0,Female,One year,29.234327836794648,480.27070237848426,No,DSL,21,No,Electronic check,No,22.870033446594487,720.4060535677264
170,30.0,Female,Month-to-month,65.84175379867771,236.64353140262483,Yes,Fiber optic,4,No,Bank transfer (automatic),Yes,59.16088285065621,354.96529710393725
171,29.0,Male,Month-to-month,48.531613922417954,665.6859006305882,No,DSL,15,Yes,Electronic check,Yes,44.379060042039214,998.5288509458824
172,30.0,Female,One year,20.0,343.58889131188465,No,No,17,No,Bank transfer (automatic),Yes,20.211111253640272,515.383336967827
173,39.0,Male,Month-to-month,55.50570189394952,261.2474453122478,Yes,DSL,5,Yes,Electronic check,No,52.24948906244956,391.8711679683717
174,44.0,Female,One year,54.19717781453533,836.8709843947064,No,DSL,16,Yes,Bank transfer (automatic),No,52.30443652466915,1255.3064765920597
175,43.0,Female,Month-to-month,78.90085399788373,1454.69071337836,No,Fiber optic,18,Yes,Electronic check,No,80.81615074324222,2182.03607006754
176,49.0,Female,Month-to-month,75.57846194334887,308.5444508829015,Yes,Fiber optic,3,Yes,Electronic check,No,102.84815029430051,462.8166763243523
177,40.0,Female,Month-to-month,60.94764552672474,1473.914134175836,No,DSL,22,Yes,Electronic check,No,66.99609700799255,2210.871201263754
178,57.0,Male,Month-to-month,66.41343944253937,95.84542646164935,No,Fiber optic,2,Yes,Bank transfer (automatic),Yes,47.92271323082468,143.76813969247402
179,36.0,Female,Month-to-month,53.0267766105643,121.06332885135373,No,DSL,4,Yes,Electronic check,No,30.265832212838433,181.5949932770306
180,72.0,Male,Month-to-month,20.0,387.959821703917,No,No,18,Yes,Bank transfer (automatic),No,21.553323427995387,581.9397325558755
181,47.0,Female,Month-to-month,41.23251176567074,451.61684265719686,Yes,DSL,9,No,Mailed check,No,50.179649184132984,677.4252639857953
182,29.0,Female,Two year,33.382496307620755,1676.4268174254535,No,No,49,No,Bank transfer (automatic),No,34.21279219235619,2514.64022613818
183,27.0,Female,Month-to-month,29.124625969470074,371.5636116712163,No,Fiber optic,10,No,Mailed check,Yes,37.15636116712163,557.3454175068244
184,45.0,Male,One year,87.53519978308529,2877.3872593117085,No,Fiber optic,33,No,Electronic check,No,87.19355331247601,4316.080888967563
185,37.0,Female,Month-to-month,20.0,269.5212780113436,No,No,15,Yes,Electronic check,No,17.968085200756242,404.2819170170154
186,48.0,Female,Two year,20.0,1125.7717953700655,No,No,56,Yes,Electronic check,No,20.103067774465455,1688.6576930550982
187,45.0,Female,Month-to-month,75.23154968130814,811.0193871260451,No,Fiber optic,11,Yes,Bank transfer (automatic),Yes,73.72903519327683,1216.5290806890675
188,39.0,Female,Month-to-month,27.65585581473496,420.3366824733066,No,DSL,14,Yes,Bank transfer (automatic),No,30.02404874809333,630.5050237099599
189,29.0,Female,Month-to-month,53.679538561075944,585.283774510934,Yes,Fiber optic,10,Yes,Electronic check,No,58.5283774510934,877.9256617664009
190,21.0,Male,Month-to-month,53.01720706974016,1059.7311175536572,No,Fiber optic,19,Yes,Bank transfer (automatic),No,55.77532197650827,1589.596676330486
191,34.0,Male,One year,65.5720348362981,2320.550852810653,No,Fiber optic,35,No,Electronic check,No,66.30145293744722,3480.8262792159794
192,50.0,Female,Month-to-month,53.91724623678623,1144.5532873062757,No,Fiber optic,21,Yes,Electronic check,No,54.50253749077503,1716.8299309594136
193,42.0,Female,Two year,74.01678028458903,5294.912734668364,No,DSL,71,No,Mailed check,No,74.57623569955442,7942.369102002545
194,25.0,Male,Month-to-month,105.94033032995908,749.3730472570365,No,Fiber optic,8,Yes,Electronic check,No,93.67163090712957,1124.0595708855549
195,42.0,Female,Month-to-month,29.560129545038734,69.64879670677458,No,Fiber optic,2,Yes,Bank transfer (automatic),No,34.82439835338729,104.47319506016186
196,44.0,Male,One year,58.164840571486046,1980.228482289048,No,DSL,34,Yes,Credit card (automatic),No,58.242014184972,2970.3427234335722
197,29.0,Female,Month-to-month,87.17326878155149,620.8669012694381,No,Fiber optic,7,Yes,Electronic check,No,88.69527160991973,931.3003519041572
198,41.0,Female,Two year,,3391.7263926958167,No,Fiber optic,42,No,Bank transfer (automatic),Yes,80.75539030228136,5087.589589043725
